Time [s],Servo [rad],Table angle [rad]
1.724,0.6806583333333334,0.16894310693147574
1.732,0.6806583333333334,0.1729583004038231
1.74,0.6806583333333334,0.16392411509104177
1.748,0.6806583333333334,0.16492791345912883
1.756,0.6806583333333334,0.1589051232506078
1.764,0.6806583333333334,0.1669355101953025
1.772,0.6806583333333334,0.15790132488252118
1.78,0.6806583333333334,0.1699469052995628
1.788,0.6806583333333334,0.16793930856338912
1.795,0.6806583333333334,0.16793930856338912
1.804,0.6806583333333334,0.16593171182721544
1.812,0.6806583333333334,0.17797729224425707
1.82,0.6806583333333334,0.16492791345912883
1.828,0.6806583333333334,0.17496589713999677
1.836,0.6806583333333334,0.16392411509104177
1.844,0.6806583333333334,0.1729583004038231
1.852,0.6806583333333334,0.1669355101953025
1.86,0.6806583333333334,0.16894310693147574
1.868,0.6806583333333334,0.16894310693147574
1.876,0.6806583333333334,0.16793930856338912
1.884,0.6806583333333334,0.1699469052995628
1.892,0.6806583333333334,0.1729583004038231
1.9,0.6806583333333334,0.16593171182721544
1.908,0.6806583333333334,0.17195450203573648
1.916,0.6806583333333334,0.16894310693147574
1.923,0.6806583333333334,0.1759696955080834
1.932,0.6806583333333334,0.16392411509104177
1.94,0.6806583333333334,0.1729583004038231
1.948,0.6806583333333334,0.16091271998678147
1.956,0.6806583333333334,0.1759696955080834
1.964,0.6806583333333334,0.1619165183548681
1.972,0.6806583333333334,0.1729583004038231
1.98,0.6806583333333334,0.1558937281463475
1.988,0.6806583333333334,0.16392411509104177
1.996,0.6806583333333334,0.1619165183548681
2.004,0.6806583333333334,0.1729583004038231
2.012,0.6806583333333334,0.16793930856338912
2.02,0.6806583333333334,0.1669355101953025
2.028,0.6806583333333334,0.16492791345912883
2.036,0.6806583333333334,0.16894310693147574
2.044,0.6806583333333334,0.1619165183548681
2.052,0.6806583333333334,0.1699469052995628
2.06,0.6806583333333334,0.16492791345912883
2.068,0.6806583333333334,0.17797729224425707
2.076,0.6806583333333334,0.16793930856338912
2.084,0.6806583333333334,0.16392411509104177
2.092,0.6806583333333334,0.16894310693147574
2.1,0.6806583333333334,0.17095070366764942
2.108,0.6806583333333334,0.1699469052995628
2.116,0.6806583333333334,0.1739620987719097
2.124,0.6806583333333334,0.16593171182721544
2.133,0.6806583333333334,0.1729583004038231
2.141,0.6806583333333334,0.16492791345912883
2.149,0.6806583333333334,0.17496589713999677
2.157,0.6806583333333334,0.16793930856338912
2.165,0.6806583333333334,0.1669355101953025
2.173,0.6806583333333334,0.17095070366764942
2.18,0.6806583333333334,0.1739620987719097
2.189,0.6806583333333334,0.16292031672295515
2.197,0.6806583333333334,0.16894310693147574
2.205,0.6806583333333334,0.17095070366764942
2.212,0.6806583333333334,0.16894310693147574
2.221,0.6806583333333334,0.16793930856338912
2.229,0.6806583333333334,0.1729583004038231
2.237,0.6806583333333334,0.16894310693147574
2.245,0.6806583333333334,0.16793930856338912
2.253,0.6806583333333334,0.1669355101953025
2.261,0.6806583333333334,0.16091271998678147
2.269,0.6806583333333334,0.1729583004038231
2.277,0.6806583333333334,0.15990892161869485
2.285,0.6806583333333334,0.16793930856338912
2.293,0.6806583333333334,0.17095070366764942
2.301,0.6806583333333334,0.1739620987719097
2.309,0.6806583333333334,0.1558937281463475
2.317,0.6806583333333334,0.1699469052995628
2.325,0.6806583333333334,0.16593171182721544
2.332,0.6806583333333334,0.1739620987719097
2.341,0.6806583333333334,0.16894310693147574
2.349,0.6806583333333334,0.17496589713999677
2.357,0.6806583333333334,0.1619165183548681
2.365,0.6806583333333334,0.16793930856338912
2.373,0.6806583333333334,0.15689752651443412
2.381,0.6806583333333334,0.1669355101953025
2.389,0.6806583333333334,0.17095070366764942
2.397,0.6806583333333334,0.16492791345912883
2.405,0.6806583333333334,0.16292031672295515
2.412,0.6806583333333334,0.16793930856338912
2.421,0.6806583333333334,0.16593171182721544
2.429,0.6806583333333334,0.1759696955080834
2.437,0.6806583333333334,0.16593171182721544
2.445,0.6806583333333334,0.16793930856338912
2.453,0.6806583333333334,0.16492791345912883
2.461,0.6806583333333334,0.1729583004038231
2.469,0.6806583333333334,0.17095070366764942
2.477,0.6806583333333334,0.16894310693147574
2.485,0.6806583333333334,0.16894310693147574
2.493,0.6806583333333334,0.17195450203573648
2.501,0.6806583333333334,0.16593171182721544
2.509,0.6806583333333334,0.17898109061234369
2.517,0.6806583333333334,0.17095070366764942
2.525,0.6806583333333334,0.1739620987719097
2.533,0.6806583333333334,0.16593171182721544
2.541,0.6806583333333334,0.1669355101953025
